SEG NUM, PARENT, CHILDREN, START X, START Y, START X, END X, END Y, END Z, DIST 2 ROOT, MAX DIST 2 ROOT, 
176, 173, NO CHILDREN, -13.5933, 68.0241, -5.49446, -13.7747, 67.8162, -5.98657, 0, 0, 
177, 173, NO CHILDREN, -13.5933, 68.0241, -5.49446, -14.0961, 67.0976, -5.28007, 0, 0, 
178, 171, pr: 180 pr: 181 , -13.2356, 68.9313, -5.80287, -13.515, 68.8773, -6.87735, 0, 0, 
179, 171, pr: 182 pr: 183 , -13.2356, 68.9313, -5.80287, -13.1741, 68.9127, -6.50878, 0, 0, 
180, 178, NO CHILDREN, -13.515, 68.8773, -6.87735, -13.5804, 68.604, -7.33163, 0, 0, 
181, 178, NO CHILDREN, -13.515, 68.8773, -6.87735, -13.9211, 69.1221, -7.30223, 0, 0, 
182, 179, NO CHILDREN, -13.1741, 68.9127, -6.50878, -12.9498, 69.1578, -6.85709, 0, 0, 
183, 179, NO CHILDREN, -13.1741, 68.9127, -6.50878, -13.3353, 69.106, -6.94234, 0, 0, 
184, 169, pr: 186 pr: 187 , -12.1462, 69.0159, -4.70101, -12.4887, 69.4597, -5.68444, 0, 0, 
185, 169, pr: 192 pr: 193 , -12.1462, 69.0159, -4.70101, -13.39, 67.6552, -5.33424, 0, 0, 
186, 184, pr: 188 pr: 189 , -12.4887, 69.4597, -5.68444, -12.9618, 69.9134, -6.1366, 0, 0, 
187, 184, pr: 190 pr: 191 , -12.4887, 69.4597, -5.68444, -13.4438, 69.7203, -6.25775, 0, 0, 
188, 186, NO CHILDREN, -12.9618, 69.9134, -6.1366, -13.462, 70.1262, -6.11873, 0, 0, 
189, 186, NO CHILDREN, -12.9618, 69.9134, -6.1366, -12.9968, 70.6503, -6.55683, 0, 0, 
190, 187, NO CHILDREN, -13.4438, 69.7203, -6.25775, -13.5746, 69.6348, -6.31782, 0, 0, 
191, 187, NO CHILDREN, -13.4438, 69.7203, -6.25775, -13.8656, 70.0266, -6.27981, 0, 0, 
192, 185, pr: 194 pr: 195 , -13.39, 67.6552, -5.33424, -13.5952, 66.6571, -5.17829, 0, 0, 
193, 185, pr: 196 pr: 197 , -13.39, 67.6552, -5.33424, -13.6022, 67.3476, -5.70186, 0, 0, 
194, 192, NO CHILDREN, -13.5952, 66.6571, -5.17829, -13.6104, 66.2943, -4.87989, 0, 0, 
195, 192, NO CHILDREN, -13.5952, 66.6571, -5.17829, -13.3891, 65.7617, -5.42942, 0, 0, 
196, 193, NO CHILDREN, -13.6022, 67.3476, -5.70186, -13.5536, 67.2232, -5.94828, 0, 0, 
197, 193, NO CHILDREN, -13.6022, 67.3476, -5.70186, -13.5089, 66.9419, -6.21396, 0, 0, 
198, 135, pr: 200 pr: 201 , -12.6563, 69.2562, -1.73236, -13.6731, 69.0803, -1.7066, 0, 0, 
199, 135, pr: 230 pr: 231 , -12.6563, 69.2562, -1.73236, -13.0248, 68.2945, -3.42453, 0, 0, 
200, 198, pr: 202 pr: 203 , -13.6731, 69.0803, -1.7066, -16.0417, 69.6858, -0.851747, 0, 0, 
201, 198, pr: 216 pr: 217 , -13.6731, 69.0803, -1.7066, -14.8471, 69.5827, -1.22086, 0, 0, 
202, 200, pr: 204 pr: 205 , -16.0417, 69.6858, -0.851747, -16.9816, 69.4199, -0.280722, 0, 0, 
203, 200, pr: 210 pr: 211 , -16.0417, 69.6858, -0.851747, -16.7859, 69.7352, -0.969697, 0, 0, 
204, 202, pr: 206 pr: 207 , -16.9816, 69.4199, -0.280722, -17.4466, 69.5191, 0.368747, 0, 0, 
205, 202, pr: 208 pr: 209 , -16.9816, 69.4199, -0.280722, -17.3643, 69.6141, -0.0360836, 0, 0, 
206, 204, NO CHILDREN, -17.4466, 69.5191, 0.368747, -17.5514, 69.4724, 0.996546, 0, 0, 
207, 204, NO CHILDREN, -17.4466, 69.5191, 0.368747, -17.7097, 69.4841, 0.495945, 0, 0, 
208, 205, NO CHILDREN, -17.3643, 69.6141, -0.0360836, -17.4439, 69.7237, 0.358475, 0, 0, 
209, 205, NO CHILDREN, -17.3643, 69.6141, -0.0360836, -17.691, 70.3335, 0.193298, 0, 0, 
210, 203, pr: 212 pr: 213 , -16.7859, 69.7352, -0.969697, -17.118, 69.5685, -1.01787, 0, 0, 
211, 203, pr: 214 pr: 215 , -16.7859, 69.7352, -0.969697, -17.2525, 69.944, -1.3322, 0, 0, 
212, 210, NO CHILDREN, -17.118, 69.5685, -1.01787, -17.8899, 69.5242, -0.941402, 0, 0, 
213, 210, NO CHILDREN, -17.118, 69.5685, -1.01787, -17.5698, 69.6554, -1.10383, 0, 0, 
214, 211, NO CHILDREN, -17.2525, 69.944, -1.3322, -17.7742, 70.1668, -1.30396, 0, 0, 
215, 211, NO CHILDREN, -17.2525, 69.944, -1.3322, -17.9185, 69.8723, -1.65999, 0, 0, 
216, 201, pr: 218 pr: 219 , -14.8471, 69.5827, -1.22086, -15.1146, 69.5452, -0.983751, 0, 0, 
217, 201, pr: 224 pr: 225 , -14.8471, 69.5827, -1.22086, -16.1995, 69.649, -1.35777, 0, 0, 
218, 216, pr: 220 pr: 221 , -15.1146, 69.5452, -0.983751, -15.4054, 69.2747, -0.725349, 0, 0, 
219, 216, pr: 222 pr: 223 , -15.1146, 69.5452, -0.983751, -15.2344, 69.786, -0.0496305, 0, 0, 
220, 218, NO CHILDREN, -15.4054, 69.2747, -0.725349, -15.5237, 68.9996, -0.201146, 0, 0, 
221, 218, NO CHILDREN, -15.4054, 69.2747, -0.725349, -15.5629, 69.1347, -0.723814, 0, 0, 
222, 219, NO CHILDREN, -15.2344, 69.786, -0.0496305, -15.352, 69.6708, 0.224297, 0, 0, 
223, 219, NO CHILDREN, -15.2344, 69.786, -0.0496305, -15.218, 69.6038, 0.753202, 0, 0, 
224, 217, pr: 226 pr: 227 , -16.1995, 69.649, -1.35777, -16.981, 70.1572, -0.976006, 0, 0, 
225, 217, pr: 228 pr: 229 , -16.1995, 69.649, -1.35777, -16.6844, 69.4112, -1.30104, 0, 0, 
226, 224, NO CHILDREN, -16.981, 70.1572, -0.976006, -17.1813, 70.642, -0.647524, 0, 0, 
227, 224, NO CHILDREN, -16.981, 70.1572, -0.976006, -17.1193, 70.4476, -0.916644, 0, 0, 
228, 225, NO CHILDREN, -16.6844, 69.4112, -1.30104, -17.1259, 68.8034, -0.980988, 0, 0, 
229, 225, NO CHILDREN, -16.6844, 69.4112, -1.30104, -16.8344, 69.3804, -1.36106, 0, 0, 
